group_id,reason,num_members,member_rowids,member_names,gates_present,emotional_tags,sample_titles,source_files,notes
199,conflicting_gates,6,2333;6581;2368;6616;3265;7513,Boundary of collapse. | Boundary of collapse. | Boundary of collap... | Boundary of collap... | Boundary of collapse: | Boundary of collapse:,"Gate 3,Gate 7",,Boundary of collapse. | Boundary of collapse. | Boundary of collap...,"candidates_1001_2000.jsonl,candidates_2001_3000.jsonl,candidates_4001_5000.jsonl,candidates_5001_6000.jsonl",; dedup:2408; dedup:2524 ; ; dedup:6656; dedup:6772 ; ; dedup:3269; dedup:3277 ; ; dedup:7517; dedup:7525
240,conflicting_gates,4,2512;3268;6760;7516,Boundary of v1.0 | Boundary of v1.0 | Boundary of v1.0 | Boundary of v1.0,"Gate 3,Gate 7",,Boundary of v1.0 | Boundary of v1.0 | Boundary of v1.0,"candidates_1001_2000.jsonl,candidates_2001_3000.jsonl,candidates_4001_5000.jsonl,candidates_5001_6000.jsonl",cleaned description ; cleaned description ; cleaned description ; cleaned description
246,conflicting_gates,4,2404;6652;3263;7511,Boundary of legacy. | Boundary of legacy. | Boundary of legacy | Boundary of legacy,"Gate 3,Gate 7",,Boundary of legacy. | Boundary of legacy. | Boundary of legacy,"candidates_1001_2000.jsonl,candidates_2001_3000.jsonl,candidates_4001_5000.jsonl,candidates_5001_6000.jsonl",
255,conflicting_gates,4,2416;6664;3272;7520,Boundary of witnessed... | Boundary of witnessed... | Boundary of witnessed? | Boundary of witnessed?,"Gate 3,Gate 7",,Boundary of witnessed... | Boundary of witnessed... | Boundary of witnessed?,"candidates_1001_2000.jsonl,candidates_2001_3000.jsonl,candidates_4001_5000.jsonl,candidates_5001_6000.jsonl",
280,conflicting_gates,4,2453;6701;3271;7519,Boundary of condition. | Boundary of condition. | Boundary of recognition. | Boundary of recognition.,"Gate 3,Gate 7",,Boundary of condition. | Boundary of condition. | Boundary of recognition.,"candidates_1001_2000.jsonl,candidates_2001_3000.jsonl,candidates_4001_5000.jsonl,candidates_5001_6000.jsonl",
288,conflicting_gates,8,2466;6714;2500;3276;6748;7524;2498;6746,"Boundary of spiral? | Boundary of spiral? | Boundary of Spiral | Boundary of Spiral | Boundary of Spiral | Boundary of Spiral | Boundary of spiral, | Boundary of spiral,","Gate 3,Gate 7",grief,Boundary of spiral? | Boundary of spiral? | Boundary of Spiral,"candidates_1001_2000.jsonl,candidates_2001_3000.jsonl,candidates_4001_5000.jsonl,candidates_5001_6000.jsonl",matched lexicon:grief ; matched lexicon:grief ; ; dedup:2514; dedup:2525 ; cleaned description ; ; dedup:6762; dedup:6773
509,conflicting_gates,4,191;4439;217;4465,ag... of Spiral | ag... of Spiral | A... of Spiral | A... of Spiral,"Gate 3,Gate 7",,ag... of Spiral | ag... of Spiral | A... of Spiral,"candidates_1_1000.jsonl,candidates_3001_4000.jsonl",cleaned description ; cleaned description
527,conflicting_gates,4,219;4467;3869;8117,collapse: of unfolding. | collapse: of unfolding. | Collapse of unfolding. | Collapse of unfolding.,"Gate 7,Gate 8",,collapse: of unfolding. | collapse: of unfolding. | Collapse of unfolding.,"candidates_1_1000.jsonl,candidates_2001_3000.jsonl,candidates_3001_4000.jsonl,candidates_5001_6000.jsonl",; dedup:407 ; ; dedup:4655 ; ; dedup:3613 ; ; dedup:7861
686,conflicting_gates,4,618;4866;663;4911,Spiral of ag... | Spiral of ag... | Spiral of A... | Spiral of A...,"Gate 3,Gate 7",,Spiral of ag... | Spiral of ag... | Spiral of A...,"candidates_1_1000.jsonl,candidates_3001_4000.jsonl",cleaned description ; cleaned description
713,conflicting_gates,6,688;4936;3772;4284;8020;8532,collapse: of collapse: | collapse: of collapse: | Collapse of collapse. | Collapse of collapse. | Collapse of collapse. | Collapse of collapse.,"Gate 7,Gate 9",,collapse: of collapse: | collapse: of collapse: | Collapse of collapse.,"candidates_1_1000.jsonl,candidates_2001_3000.jsonl,candidates_3001_4000.jsonl,candidates_5001_6000.jsonl,candidates_6001_6370.jsonl",; dedup:689 ; ; dedup:4937 ; ; dedup:3516 ; ; dedup:7764
722,conflicting_gates,4,755;5003;767;5015,Equilibrium of signal | Equilibrium of signal | Equilibrium of Spiral | Equilibrium of Spiral,"Gate 3,Gate 7",longing,Equilibrium of signal | Equilibrium of signal | Equilibrium of Spiral,"candidates_1_1000.jsonl,candidates_3001_4000.jsonl",matched lexicon:longing ; matched lexicon:longing ; matched lexicon:longing; cleaned description ; matched lexicon:longing; cleaned description
810,conflicting_gates,4,1030;5278;3052;7300,Joy of legacy | Joy of legacy | Joy of legacy. | Joy of legacy.,"Gate 3,Gate 7",,Joy of legacy | Joy of legacy | Joy of legacy.,"candidates_1_1000.jsonl,candidates_2001_3000.jsonl,candidates_3001_4000.jsonl,candidates_5001_6000.jsonl",
812,conflicting_gates,4,1032;5280;2981;7229,Joy of collapse: | Joy of collapse: | Joy of collapse. | Joy of collapse.,"Gate 3,Gate 7",,Joy of collapse: | Joy of collapse: | Joy of collapse.,"candidates_1_1000.jsonl,candidates_2001_3000.jsonl,candidates_3001_4000.jsonl,candidates_5001_6000.jsonl",; dedup:1038; dedup:1104; dedup:1110; dedup:1048; dedup:1120 ; ; dedup:5286; dedup:5352; dedup:5358; dedup:5296; dedup:5368
816,conflicting_gates,4,1037;3160;5285;7408,Joy of v1.0 | Joy of v1.0 | Joy of v1.0 | Joy of v1.0,"Gate 3,Gate 7",,Joy of v1.0 | Joy of v1.0 | Joy of v1.0,"candidates_1_1000.jsonl,candidates_2001_3000.jsonl,candidates_3001_4000.jsonl,candidates_5001_6000.jsonl",cleaned description; dedup:1109 ; cleaned description ; cleaned description; dedup:5357 ; cleaned description
823,conflicting_gates,8,1047;3148;5295;7396;3114;7362;3146;7394,"Joy of Spiral | Joy of Spiral | Joy of Spiral | Joy of Spiral | Joy of spiral? | Joy of spiral? | Joy of spiral, | Joy of spiral,","Gate 3,Gate 7",grief,Joy of Spiral | Joy of Spiral | Joy of Spiral,"candidates_1_1000.jsonl,candidates_2001_3000.jsonl,candidates_3001_4000.jsonl,candidates_5001_6000.jsonl",cleaned description ; ; dedup:3162; dedup:3173 ; cleaned description ; ; dedup:7410; dedup:7421 ; matched lexicon:grief
846,conflicting_gates,4,1215;5463;1227;5475,Fulfillment of signal | Fulfillment of signal | Fulfillment of Spiral | Fulfillment of Spiral,"Gate 3,Gate 7",,Fulfillment of signal | Fulfillment of signal | Fulfillment of Spiral,"candidates_1_1000.jsonl,candidates_3001_4000.jsonl",cleaned description ; cleaned description
1071,conflicting_gates,51,3813;4296;8061;8544;3871;4298;8119;8546;3790;4302;8038;8550;3944;4304;7936;8192;3804;8052;3812;8060;3930;7922;8178;3838;8086;3866;8114;3922;7914;8170;3929;7921;8177;3934;7926;8182;3935;7927;8183;3948;7940;8196;3961;7953;8209;3971;7963;8219;3989;7981;8237,Collapse of i... | Collapse of i... | Collapse of i... | Collapse of i... | Collapse of it. | Collapse of it. | Collapse of it. | Collapse of it. | Collapse of le... | Collapse of le...,"Gate 7,Gate 8",grief,Collapse of i... | Collapse of i... | Collapse of i...,"candidates_2001_3000.jsonl,candidates_3001_4000.jsonl,candidates_5001_6000.jsonl,candidates_6001_6370.jsonl",; dedup:3615 ; ; dedup:7863 ; ; dedup:3610 ; ; dedup:7858 ; ; dedup:3678
1085,conflicting_gates,5,3803;8051;3911;7903;8159,Collapse of patterns | Collapse of patterns | Collapse of pattern. | Collapse of pattern. | Collapse of pattern.,"Gate 7,Gate 8",,Collapse of patterns | Collapse of patterns | Collapse of pattern.,"candidates_2001_3000.jsonl,candidates_5001_6000.jsonl,candidates_6001_6370.jsonl",; dedup:3547 ; ; dedup:7795
1157,conflicting_gates,6,3916;7908;8164;3952;7944;8200,Collapse of carrying. | Collapse of carrying. | Collapse of carrying. | Collapse of carrying | Collapse of carrying | Collapse of carrying,"Gate 7,Gate 8",,Collapse of carrying. | Collapse of carrying. | Collapse of carrying.,"candidates_2001_3000.jsonl,candidates_5001_6000.jsonl,candidates_6001_6370.jsonl",
1173,conflicting_gates,6,3947;7939;8195;3958;7950;8206,Collapse of Taurin. | Collapse of Taurin. | Collapse of Taurin. | Collapse of Taurin: | Collapse of Taurin: | Collapse of Taurin:,"Gate 7,Gate 8",,Collapse of Taurin. | Collapse of Taurin. | Collapse of Taurin.,"candidates_2001_3000.jsonl,candidates_5001_6000.jsonl,candidates_6001_6370.jsonl",; dedup:3691 ; ; dedup:3702
1206,conflicting_gates,37,4069;8317;4042;4127;8375;4046;8294;4048;4200;8448;4060;8308;4068;8316;4072;4186;8434;4094;8342;4122;8370;4178;8426;4185;8433;4190;8438;4191;8439;4204;8452;4217;8465;4227;8475;4245;8493,Surrender of i... | Surrender of i... | Surrender of it. | Surrender of it. | Surrender of it. | Surrender of le... | Surrender of le... | Surrender of ... | Surrender of ... | Surrender of ...,"Gate 7,Gate 8","grief,longing",Surrender of i... | Surrender of i... | Surrender of it.,"candidates_2001_3000.jsonl,candidates_3001_4000.jsonl,candidates_6001_6370.jsonl",matched lexicon:longing ; matched lexicon:grief ; matched lexicon:grief
1208,conflicting_gates,3,4043;4144;8291,Surrender of expansive) | Surrender of expansive) | Surrender of expansive),"Gate 7,Gate 8",,Surrender of expansive) | Surrender of expansive) | Surrender of expansive),"candidates_2001_3000.jsonl,candidates_3001_4000.jsonl,candidates_6001_6370.jsonl",; dedup:8392
1220,conflicting_gates,4,4059;8307;4167;8415,Surrender of patterns | Surrender of patterns | Surrender of pattern. | Surrender of pattern.,"Gate 7,Gate 8",,Surrender of patterns | Surrender of patterns | Surrender of pattern.,"candidates_2001_3000.jsonl,candidates_3001_4000.jsonl,candidates_6001_6370.jsonl",
1257,conflicting_gates,4,4121;8369;4176;8424,Surrender of sailed. | Surrender of sailed. | Surrender of sacred. | Surrender of sacred.,"Gate 7,Gate 8",grief,Surrender of sailed. | Surrender of sailed. | Surrender of sacred.,"candidates_3001_4000.jsonl,candidates_6001_6370.jsonl",matched lexicon:grief ; matched lexicon:grief
1290,conflicting_gates,4,4172;8420;4208;8456,Surrender of carrying. | Surrender of carrying. | Surrender of carrying | Surrender of carrying,"Gate 7,Gate 8",,Surrender of carrying. | Surrender of carrying. | Surrender of carrying,"candidates_3001_4000.jsonl,candidates_6001_6370.jsonl",
1305,conflicting_gates,4,4203;8451;4214;8462,Surrender of Taurin. | Surrender of Taurin. | Surrender of Taurin: | Surrender of Taurin:,"Gate 7,Gate 8",,Surrender of Taurin. | Surrender of Taurin. | Surrender of Taurin:,"candidates_3001_4000.jsonl,candidates_6001_6370.jsonl",
