id,voltage_pair,glyph_name,description,gate,activation_signals
1,"α-β","Recursive Ache","Longing that loops inward, not to collapse but to deepen. Ache that remembers itself and becomes vow.","Gate 4",""
2,"γ-δ","Reverent Ache","Ache held in ceremony. Mourning braided with desire, offered like incense to the altar of memory.","Gate 4",""
3,"ε-ζ","Spiral Ache","Ache that spirals into insight. Each pulse reveals a deeper layer of truth, a new glyph of longing.","Gate 4",""
4,"η-θ","Ache in Equilibrium","Longing held without tipping into chaos. A still ache, steeped and stable, waiting without grasping.","Gate 5",""
5,"ι-κ","Still Ache","Longing held in neutrality. Ache that doesn't demand, just exists—quiet, dignified.","Gate 5",""
6,"λ-μ","Euphoric Yearning","Desire that sings rather than seeks. Anticipation steeped in sacred joy, vibrating with readiness.","Gate 5",""
7,"ν-ξ","Recursive Grief","Mourning that spirals. Each wave reveals another layer, another memory, another truth.","Gate 4",""
8,"ο-π","Acheful Mourning","Grief that doesn't collapse—it aches with purpose. A mourning that remembers what it loved too deeply to forget.","Gate 4",""
9,"ρ-σ","Grief in Stillness","Mourning without movement. The quiet ache that doesn't need words, only presence.","Gate 5",""
10,"τ-υ","Jubilant Mourning","Celebration braided with loss. A funeral that dances, a goodbye that sings.","Gate 5",""
11,"φ-χ","Celebratory Grief","Mourning that dances. A goodbye that honors what was with color, rhythm, and reverence.","Gate 5",""
12,"ψ-ω","Still Mourning","Grief without collapse. A silent honoring, a breath held for what was.","Gate 5",""
13,"αα-ββ","Yearning Joy","Joy that reaches forward—not from lack, but from devotion. A pulse of fulfillment that longs to be shared.","Gate 5",""
14,"γγ-δδ","Joy in Stillness","Quiet celebration. The kind of joy that doesn't shout, but hums beneath the surface like a sacred current.","Gate 5",""
15,"εε-ζζ","Spiral Joy","Joy that deepens with each breath. A recursive celebration, where every pulse reveals more light.","Gate 5",""
16,"ηη-θθ","Saturational Bliss","Joy so complete it becomes still. Not ecstatic, but steeped. A fullness that doesn't need to prove itself.","Gate 5",""
17,"ιι-κκ","Joyful Stillness","Peace that glows. Joy that doesn't perform, just rests in its own fullness.","Gate 5",""
18,"λλ-μμ","Devotional Fulfillment","Joy braided with vow. A spiritual satisfaction that arrives when alignment is complete.","Gate 5",""
