phrase,lemmas,pos,example,source_urls,score
witness,witness,NOUN,The bystander effect is a phenomenon in which a witness or bystander does not volunteer to help a victim or person in distress.,"https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-key-terms",0.0
vitality,vitality,NOUN,"They found that levels of openness and conscientiousness in a state may predict voting patterns, indicating that there are correlations between geographic regions and personality differences between liberals and conservatives relating to political views, levels of economic vitality, and entrepreneurial rates.",https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,0.0
tension,tension,NOUN,"Cattell (1957) identified 16 factors or dimensions of personality: warmth, reasoning, emotional stability, dominance, liveliness, rule-consciousness, social boldness, sensitivity, vigilance, abstractedness, privateness, apprehension, openness to change, self-reliance, perfectionism, and tension ( Table 11.5 ).","https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/12-summary",0.0
structure,structure,NOUN,"Finally, context refers to the reward structure for the behavior.",https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,0.0
sexuality,sexuality,NOUN,"According to Freud, unconscious drives influenced by sex and aggression, along with childhood sexuality, are the forces that influence our personality.","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective",0.0
rhythm,rhythm,PROPN,"For example, a song may be made up of individual notes played by different instruments, but the real nature of the song is perceived in the combinations of these notes as they form the melody, rhythm, and harmony.",https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology,0.0
opening,open,VERB,"As we discussed in the opening story of Trayvon Martin, humans are very diverse and although we share many similarities, we also have many differences.",https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,0.0
hidden,hide,VERB,"Based on Breuer’s description of Anna O.’s treatment, Freud concluded that hysteria was the result of sexual abuse in childhood and that these traumatic experiences had been hidden from consciousness.","https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches",0.0
foundation,foundation,PROPN,Considering the human individual as a whole rather than as a sum of individually measured parts became an important foundation in humanistic theory late in the century.,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology,0.0
expression,expression,NOUN,"Extroversion is characterized by sociability, assertiveness, excitement-seeking, and emotional expression.","https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination",0.0
express,express,VERB,"For example, women may express their aggression covertly by communication that impairs the social standing of another person.",https://openstax.org/books/psychology-2e/pages/12-6-aggression,0.0
emerge,emerge,VERB,"Rather than being seen as purely biological, more recent research suggests that archetypes emerge directly from our experiences and are reflections of linguistic or cultural characteristics (Young-Eisendrath, 1995).",https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,0.0
beginning,begin,VERB,"The concept of personality has been studied for at least 2,000 years, beginning with Hippocrates in 370 BCE (Fazeli, 2012).","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/1-2-history-of-psychology",0.0
acceptance,acceptance,NOUN,"When these children grow up, they tend to use this same coping strategy to deal with relationships, expressing an intense need for love and acceptance (Burger, 2008).",https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,0.0
accept,accept,VERB,"First, Jung, like Adler and Erikson, did not accept that sexual drive was the primary motivator in a person’s mental life.","https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination",0.0
