phrase,lemmas,pos,example,source_urls
ω',ω ',"X,PUNCT",,
ω,ω,X,,
λ,λ,INTJ,,
θ',θ ',"ADP,PUNCT",,
θ,θ,ADP,,
ε',ε ',"NOUN,PUNCT",,
ε,ε,ADP,,
δ'],δ ' ],"PRON,PUNCT,PUNCT",,
δ',δ ',"PRON,PUNCT",,
δ,δ,X,,
γ,γ,NUM,,
β,β,INTJ,,
α,α,X,,
witness,witness,NOUN,The bystander effect is a phenomenon in which a witness or bystander does not volunteer to help a victim or person in distress.,"https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-key-terms"
vulnerability,vulnerability,NOUN,"After 2 years on the job, police officers’ responses indicated an increased vulnerability to alcoholism, somatic symptoms (vague, unexplained physical complaints), and anxiety.",https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment
voice,voice,NOUN,,
vitality,vitality,NOUN,"They found that levels of openness and conscientiousness in a state may predict voting patterns, indicating that there are correlations between geographic regions and personality differences between liberals and conservatives relating to political views, levels of economic vitality, and entrepreneurial rates.",https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality
unknown,unknown,ADJ,,
ultimate,ultimate,ADJ,,
tribe,tribe,NOUN,"Similarly, Dana (1986) suggested that personality assessment services for Native Americans are often provided without a proper recognition of culture-specific responses and a tribe-specific frame of reference.",https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality
transform,transform,VERB,,
transcend,transcend,VERB,,
timing,time,VERB,"Features of the message itself that affect persuasion include subtlety (the quality of being important, but not obvious) (Petty & Cacioppo, 1986; Walster & Festinger, 1962); sidedness (that is, having more than one side) (Crowley & Hoyer, 1994; Igou & Bless, 2003; Lumsdaine & Janis, 1953); timing (Haugtvedt & Wegener, 1994; Miller & Campbell, 1959), and whether both sides are presented.",https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion
threshold,threshold,NOUN,,
tension,tension,NOUN,"Cattell (1957) identified 16 factors or dimensions of personality: warmth, reasoning, emotional stability, dominance, liveliness, rule-consciousness, social boldness, sensitivity, vigilance, abstractedness, privateness, apprehension, openness to change, self-reliance, perfectionism, and tension ( Table 11.5 ).","https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/12-summary"
synchronicity,synchronicity,NOUN,,
surrender,surrender,NOUN,,
structure,structure,NOUN,"Finally, context refers to the reward structure for the behavior.",https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches
shadow,shadow,NOUN,,
sexuality,sexuality,NOUN,"According to Freud, unconscious drives influenced by sex and aggression, along with childhood sexuality, are the forces that influence our personality.","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective"
sensual,sensual,ADJ,,
sacred,sacred,ADJ,,
rhythm,rhythm,PROPN,,
resonance,resonance,NOUN,,
rebirth,rebirth,NOUN,,
paradox,paradox,NOUN,,
opening,open,VERB,"As we discussed in the opening story of Trayvon Martin, humans are very diverse and although we share many similarities, we also have many differences.",https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination
mystery,mystery,NOUN,,
magnetism,magnetism,NOUN,,
letting go,letting go,"AUX,VERB",,
let go,let go,"AUX,VERB",,
initiate,initiate,VERB,,
infinite,infinite,VERB,,
hidden,hide,VERB,"Based on Breuer’s description of Anna O.’s treatment, Freud concluded that hysteria was the result of sexual abuse in childhood and that these traumatic experiences had been hidden from consciousness.","https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-key-terms"
harmony,harmony,PROPN,"People who live in collectivist cultures value social harmony, respectfulness, and group needs over individual needs.","https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-summary"
grounding,ground,VERB,,
ground,ground,NOUN,"Thus, the ego’s job is to find the middle ground.","https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists"
grief,grief,NOUN,,
generosity,generosity,NOUN,,
foundation,foundation,PROPN,,
flow,flow,VERB,,
expression,expression,NOUN,"Extroversion is characterized by sociability, assertiveness, excitement-seeking, and emotional expression.","https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination"
eternal,eternal,ADJ,,
enlighten,enlighten,VERB,,
emergence,emergence,VERB,,
emerge,emerge,VERB,"Rather than being seen as purely biological, more recent research suggests that archetypes emerge directly from our experiences and are reflections of linguistic or cultural characteristics (Young-Eisendrath, 1995).",https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney
embodied,embody,VERB,,
duality,duality,NOUN,,
divine,divine,ADJ,,
dissolve,dissolve,VERB,,
die,die,VERB,,
devotion,devotion,NOUN,,
depth,depth,NOUN,"In this chapter, we will explore these various perspectives on personality in depth.","https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches"
creativity,creativity,NOUN,,
contradiction,contradiction,NOUN,,
