id,issue,reason,metric,note
78,ENCODING/NOISE,REVIEW,0.39,
81,ENCODING/NOISE,REVIEW,0.39,
135,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
217,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.017,
218,ENCODING/NOISE,REVIEW,0.387,
219,ENCODING/NOISE,REVIEW,0.383,
407,ENCODING/NOISE,REVIEW,0.383,
519,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
532,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
539,ENCODING/NOISE,REVIEW,0.383,
540,ENCODING/NOISE,REVIEW,0.383,
632,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
663,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.03,
665,ENCODING/NOISE,REVIEW,0.39,
687,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
688,ENCODING/NOISE,REVIEW,0.39,
750,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
752,ENCODING/NOISE,REVIEW,0.383,
758,ENCODING/NOISE,REVIEW,0.383,
768,ENCODING/NOISE,REVIEW,0.383,
786,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
788,ENCODING/NOISE,REVIEW,0.383,
822,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
824,ENCODING/NOISE,REVIEW,0.383,
830,ENCODING/NOISE,REVIEW,0.383,
840,ENCODING/NOISE,REVIEW,0.383,
886,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
888,ENCODING/NOISE,REVIEW,0.383,
922,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
924,ENCODING/NOISE,REVIEW,0.4,
958,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
960,ENCODING/NOISE,REVIEW,0.383,
966,ENCODING/NOISE,REVIEW,0.383,
976,ENCODING/NOISE,REVIEW,0.383,
994,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
1030,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
1032,ENCODING/NOISE,REVIEW,0.383,
1066,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
1102,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
1138,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
1140,ENCODING/NOISE,REVIEW,0.383,
1146,ENCODING/NOISE,REVIEW,0.383,
1156,ENCODING/NOISE,REVIEW,0.383,
1174,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
1210,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
1212,ENCODING/NOISE,REVIEW,0.383,
1218,ENCODING/NOISE,REVIEW,0.383,
1228,ENCODING/NOISE,REVIEW,0.383,
1281,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.012,
1324,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
1328,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.078,
1353,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
1362,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.071,
2151,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
2188,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.011,
2225,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
2228,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.087,
2245,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
2246,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
2258,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.02,
2261,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.043,
2265,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.096,
2267,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.075,
2280,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
2300,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
2367,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.012,
2404,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.011,
2441,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
2444,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.086,
2461,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
2462,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
2474,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.02,
2477,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.043,
2481,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.095,
2483,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.075,
2516,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
2583,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.012,
2620,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
2657,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
2660,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.085,
2677,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
2678,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
2690,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.02,
2693,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.042,
2697,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.093,
2699,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.074,
2732,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.03,
2799,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.012,
2836,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.011,
2873,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
2876,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.086,
2893,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
2894,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
2906,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.02,
2909,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.042,
2913,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.094,
2915,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.074,
2948,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.03,
3015,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
3052,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.011,
3089,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
3092,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.088,
3109,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
3110,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
3122,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.02,
3125,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.044,
3129,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.096,
3131,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.076,
3144,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
3164,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
3185,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3211,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3237,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3239,ENCODING/NOISE,REVIEW,0.383,
3243,ENCODING/NOISE,REVIEW,0.383,
3251,ENCODING/NOISE,REVIEW,0.383,
3263,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3265,ENCODING/NOISE,REVIEW,0.383,
3269,ENCODING/NOISE,REVIEW,0.383,
3277,ENCODING/NOISE,REVIEW,0.383,
3289,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3291,ENCODING/NOISE,REVIEW,0.383,
3315,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3341,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3343,ENCODING/NOISE,REVIEW,0.383,
3366,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3368,ENCODING/NOISE,REVIEW,0.383,
3391,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3416,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3441,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3466,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3554,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
3556,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
3592,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.011,
3634,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
3637,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.088,
3639,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.085,
3661,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
3662,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
3678,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.02,
3682,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.044,
3686,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.097,
3689,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.076,
3694,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.074,
3706,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3712,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.078,
3727,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.077,
3810,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.012,
3812,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
3848,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.01,
3890,ENCODING/NOISE,AUTO_FIX_POSSIBLE,0.013,
