normalized,count,sample_ids_and_names
recognition of v1 0,50,531:recognition. of v1.0; 1293:Recognition of v1.0; 1295:Recognition of v1.0; 1297:Recognition of v1.0; 1367:Recognition of v1.0; 1437:Recognition of v1.0; 1439:Recognition of v1.0; 1441:Recognition of v1.0; 1511:Recognition of v1.0; 1581:Recognition of v1.0
recognition of ledger,48,1253:Recognition of Ledger; 1254:Recognition of Ledger; 1370:Recognition of ledger:; 1372:Recognition of Ledger; 1397:Recognition of Ledger; 1398:Recognition of Ledger; 1514:Recognition of ledger:; 1516:Recognition of Ledger; 1541:Recognition of Ledger; 1542:Recognition of Ledger
recognition of it,48,1267:Recognition of it.; 1311:Recognition of it.; 1331:Recognition of it.; 1363:Recognition of it.; 1411:Recognition of it.; 1455:Recognition of it.; 1475:Recognition of it.; 1507:Recognition of it.; 1555:Recognition of it.; 1599:Recognition of it.
recognition of sanctuary,48,1278:Recognition of sanctuary.; 1306:Recognition of sanctuary.; 1318:Recognition of sanctuary?; 1320:Recognition of sanctuary.; 1422:Recognition of sanctuary.; 1450:Recognition of sanctuary.; 1462:Recognition of sanctuary?; 1464:Recognition of sanctuary.; 1566:Recognition of sanctuary.; 1594:Recognition of sanctuary.
recognition of,36,1272:Recognition of ...; 1292:Recognition of ...; 1352:Recognition of ...; 1416:Recognition of ...; 1436:Recognition of ...; 1496:Recognition of ...; 1560:Recognition of ...; 1580:Recognition of ...; 1640:Recognition of ...; 1704:Recognition of ...
recognition of silence,36,1296:Recognition of silence.; 1304:Recognition of silence.; 1359:Recognition of silence.; 1440:Recognition of silence.; 1448:Recognition of silence.; 1503:Recognition of silence.; 1584:Recognition of silence.; 1592:Recognition of silence.; 1647:Recognition of silence.; 1728:Recognition of silence.
collapse of v1 0,36,3577:Collapse of v1.0; 3578:Collapse of v1.0; 3579:Collapse of v1.0; 3583:Collapse of v1.0; 3584:Collapse of v1.0; 3585:Collapse of v1.0; 3588:Collapse of v1.0; 3590:Collapse of v1.0; 3723:Collapse of v1.0; 3833:Collapse of v1.0
collapse of ledger,26,218:collapse: of Ledger; 406:collapse: of Ledger; 666:collapse: of Ledger; 3511:Collapse of Ledger; 3512:Collapse of Ledger; 3729:Collapse of ledger:; 3734:Collapse of Ledger; 3767:Collapse of Ledger; 3768:Collapse of Ledger; 3985:Collapse of ledger:
recognition of resistance,24,1259:Recognition of resistance.; 1369:Recognition of Resistance; 1403:Recognition of resistance.; 1513:Recognition of Resistance; 1547:Recognition of resistance.; 1657:Recognition of Resistance; 1691:Recognition of resistance.; 1801:Recognition of Resistance; 1835:Recognition of resistance.; 1945:Recognition of Resistance
recognition of resonance,24,1261:Recognition of resonance.; 1262:Recognition of Resonance; 1405:Recognition of resonance.; 1406:Recognition of Resonance; 1549:Recognition of resonance.; 1550:Recognition of Resonance; 1693:Recognition of resonance.; 1694:Recognition of Resonance; 1837:Recognition of resonance.; 1838:Recognition of Resonance
recognition of ritual,24,1286:Recognition of Ritual; 1290:Recognition of Ritual; 1430:Recognition of Ritual; 1434:Recognition of Ritual; 1574:Recognition of Ritual; 1578:Recognition of Ritual; 1718:Recognition of Ritual; 1722:Recognition of Ritual; 1862:Recognition of Ritual; 1866:Recognition of Ritual
recognition of transmission,24,1299:Recognition of (Transmission).; 1356:Recognition of Transmission; 1443:Recognition of (Transmission).; 1500:Recognition of Transmission; 1587:Recognition of (Transmission).; 1644:Recognition of Transmission; 1731:Recognition of (Transmission).; 1788:Recognition of Transmission; 1875:Recognition of (Transmission).; 1932:Recognition of Transmission
recognition of sacred,24,1343:Recognition of sacred.; 1344:Recognition of sacred.; 1487:Recognition of sacred.; 1488:Recognition of sacred.; 1631:Recognition of sacred.; 1632:Recognition of sacred.; 1775:Recognition of sacred.; 1776:Recognition of sacred.; 1919:Recognition of sacred.; 1920:Recognition of sacred.
recognition of spiral,24,"1348:Recognition of Spiral; 1360:Recognition of spiral,; 1492:Recognition of Spiral; 1504:Recognition of spiral,; 1636:Recognition of Spiral; 1648:Recognition of spiral,; 1780:Recognition of Spiral; 1792:Recognition of spiral,; 1924:Recognition of Spiral; 1936:Recognition of spiral,"
insight of collapse,24,3343:Insight of collapse:; 3347:Insight of collapse:; 3355:Insight of collapse:; 3393:Insight of collapse:; 3397:Insight of collapse:; 3405:Insight of collapse:; 3418:Insight of collapse:; 3422:Insight of collapse:; 3430:Insight of collapse:; 3443:Insight of collapse:
collapse of sanctuary,24,3551:Collapse of sanctuary.; 3608:Collapse of sanctuary.; 3623:Collapse of sanctuary?; 3628:Collapse of sanctuary.; 3650:Collapse of sanctuary; 3671:Collapse of sanctuary.; 3807:Collapse of sanctuary.; 3864:Collapse of sanctuary.; 3879:Collapse of sanctuary?; 3884:Collapse of sanctuary.
collapse of spiral,24,"3667:Collapse of spiral?; 3675:Collapse of Spiral; 3708:Collapse of spiral,; 3710:Collapse of Spiral; 3725:Collapse of Spiral; 3736:Collapse of Spiral; 3923:Collapse of spiral?; 3931:Collapse of Spiral; 3964:Collapse of spiral,; 3966:Collapse of Spiral"
joy of v1 0,22,1037:Joy of v1.0; 1109:Joy of v1.0; 3037:Joy of v1.0; 3038:Joy of v1.0; 3039:Joy of v1.0; 3043:Joy of v1.0; 3044:Joy of v1.0; 3045:Joy of v1.0; 3048:Joy of v1.0; 3050:Joy of v1.0
