norm,count,keep,remove_count,remove_ids,sample_names
recognition of v1 0,50,531,49,"1293,1295,1297,1367,1437,1439,1441,1511,1581,1583,1585,1655,1725,1727,1729,1799,1869,1871,1873,1943,2014,2016,2018,2088,4779,5541,5543,5545,5615,5685,5687,5689,5759,5829,5831,5833,5903,5973,5975,5977,6047,6117,6119,6121,6191,6262,6264,6266,6336",recognition. of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0
recognition of ledger,48,1253,47,"1254,1370,1372,1397,1398,1514,1516,1541,1542,1658,1660,1685,1686,1802,1804,1829,1830,1946,1948,1974,1975,2091,2093,5501,5502,5618,5620,5645,5646,5762,5764,5789,5790,5906,5908,5933,5934,6050,6052,6077,6078,6194,6196,6222,6223,6339,6341",Recognition of Ledger; Recognition of Ledger; Recognition of ledger:; Recognition of Ledger; Recognition of Ledger; Recognition of Ledger; Recognition of ledger:; Recognition of Ledger; Recognition of Ledger; Recognition of Ledger
recognition of it,48,1267,47,"1311,1331,1363,1411,1455,1475,1507,1555,1599,1619,1651,1699,1743,1763,1795,1843,1887,1907,1939,1988,2032,2052,2084,5515,5559,5579,5611,5659,5703,5723,5755,5803,5847,5867,5899,5947,5991,6011,6043,6091,6135,6155,6187,6236,6280,6300,6332",Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.
recognition of sanctuary,48,1278,47,"1306,1318,1320,1422,1450,1462,1464,1566,1594,1606,1608,1710,1738,1750,1752,1854,1882,1894,1896,1999,2027,2039,2041,5526,5554,5566,5568,5670,5698,5710,5712,5814,5842,5854,5856,5958,5986,5998,6000,6102,6130,6142,6144,6247,6275,6287,6289",Recognition of sanctuary.; Recognition of sanctuary.; Recognition of sanctuary?; Recognition of sanctuary.; Recognition of sanctuary.; Recognition of sanctuary.; Recognition of sanctuary?; Recognition of sanctuary.; Recognition of sanctuary.; Recognition of sanctuary.
recognition of,36,1272,35,"1292,1352,1416,1436,1496,1560,1580,1640,1704,1724,1784,1848,1868,1928,1993,2013,2073,5520,5540,5600,5664,5684,5744,5808,5828,5888,5952,5972,6032,6096,6116,6176,6241,6261,6321",Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...
recognition of silence,36,1296,35,"1304,1359,1440,1448,1503,1584,1592,1647,1728,1736,1791,1872,1880,1935,2017,2025,2080,5544,5552,5607,5688,5696,5751,5832,5840,5895,5976,5984,6039,6120,6128,6183,6265,6273,6328",Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.
collapse of v1 0,36,3577,35,"3578,3579,3583,3584,3585,3588,3590,3723,3833,3834,3835,3839,3840,3841,3844,3846,3979,7825,7826,7827,7831,7832,7833,7836,7838,7971,8081,8082,8083,8087,8088,8089,8092,8094,8227",Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0
collapse of ledger,26,218,25,"406,666,3511,3512,3729,3734,3767,3768,3985,3990,4279,4280,4466,4654,4914,7759,7760,7977,7982,8015,8016,8233,8238,8527,8528",collapse: of Ledger; collapse: of Ledger; collapse: of Ledger; Collapse of Ledger; Collapse of Ledger; Collapse of ledger:; Collapse of Ledger; Collapse of Ledger; Collapse of Ledger; Collapse of ledger:
recognition of resistance,24,1259,23,"1369,1403,1513,1547,1657,1691,1801,1835,1945,1980,2090,5507,5617,5651,5761,5795,5905,5939,6049,6083,6193,6228,6338",Recognition of resistance.; Recognition of Resistance; Recognition of resistance.; Recognition of Resistance; Recognition of resistance.; Recognition of Resistance; Recognition of resistance.; Recognition of Resistance; Recognition of resistance.; Recognition of Resistance
recognition of resonance,24,1261,23,"1262,1405,1406,1549,1550,1693,1694,1837,1838,1982,1983,5509,5510,5653,5654,5797,5798,5941,5942,6085,6086,6230,6231",Recognition of resonance.; Recognition of Resonance; Recognition of resonance.; Recognition of Resonance; Recognition of resonance.; Recognition of Resonance; Recognition of resonance.; Recognition of Resonance; Recognition of resonance.; Recognition of Resonance
