id,norm,keep,glyph_name,display_name,response_template,archived_at
1293,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1295,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1297,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1367,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1437,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1439,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1441,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1511,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1581,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1583,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1585,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1655,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1725,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1727,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1729,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1799,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1869,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1871,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1873,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1943,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
2014,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
2016,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
2018,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
2088,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
4779,recognition of v1 0,531,recognition. of v1.0,,,2025-11-20T01:42:53.402609Z
5541,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5543,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5545,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5615,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5685,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5687,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5689,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5759,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5829,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5831,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5833,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5903,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5973,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5975,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
5977,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
6047,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
6117,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
6119,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
6121,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
6191,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
6262,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
6264,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
6266,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
6336,recognition of v1 0,531,Recognition of v1.0,,,2025-11-20T01:42:53.402609Z
1254,recognition of ledger,1253,Recognition of Ledger,,,2025-11-20T01:42:53.402609Z
1370,recognition of ledger,1253,Recognition of ledger:,,,2025-11-20T01:42:53.402609Z
1372,recognition of ledger,1253,Recognition of Ledger,,,2025-11-20T01:42:53.402609Z
1397,recognition of ledger,1253,Recognition of Ledger,,,2025-11-20T01:42:53.402609Z
1398,recognition of ledger,1253,Recognition of Ledger,,,2025-11-20T01:42:53.402609Z
1514,recognition of ledger,1253,Recognition of ledger:,,,2025-11-20T01:42:53.402609Z
1516,recognition of ledger,1253,Recognition of Ledger,,,2025-11-20T01:42:53.402609Z
1541,recognition of ledger,1253,Recognition of Ledger,,,2025-11-20T01:42:53.402609Z
1542,recognition of ledger,1253,Recognition of Ledger,,,2025-11-20T01:42:53.402609Z
1658,recognition of ledger,1253,Recognition of ledger:,,,2025-11-20T01:42:53.402609Z
