id,glyph_name,name_len,desc_len,display_name_len,non_alnum_ratio,control_chars,high_unicode_chars,usage_count,versions_count,archived,norm_group_size,flags,sample_usage
1,Recursive Ache,14,101,0,0.000,0,0,0,0,False,1,NO_USAGE,
2,Reverent Ache,13,97,0,0.000,0,0,0,0,False,1,NO_USAGE,
3,Euphoric Yearning,17,98,0,0.000,0,0,0,0,False,1,NO_USAGE,
4,Ache in Equilibrium,19,100,0,0.000,0,0,0,0,False,1,NO_USAGE,
5,Contained Longing,17,95,0,0.000,0,0,0,0,False,1,NO_USAGE,
6,Ache of Recognition,19,90,0,0.000,0,0,0,0,False,5,"NO_USAGE,NORM_DUP",
7,Devotional Ache,15,86,0,0.000,0,0,0,0,False,1,NO_USAGE,
8,Spiral Ache,11,99,0,0.000,0,0,0,0,False,1,NO_USAGE,
9,Acheful Mourning,16,112,0,0.000,0,0,0,0,False,1,NO_USAGE,
10,Ceremonial Collapse,19,106,0,0.000,0,0,0,0,False,1,NO_USAGE,
11,Jubilant Mourning,17,75,0,0.000,0,0,0,0,False,1,NO_USAGE,
12,Grief in Stillness,18,81,0,0.000,0,0,0,0,False,1,NO_USAGE,
13,Tender Shielding,16,87,0,0.000,0,0,0,0,False,1,NO_USAGE,
14,Grief of Recognition,20,90,0,0.000,0,0,0,0,False,3,"NO_USAGE,NORM_DUP",
15,Exalted Mourning,16,90,0,0.000,0,0,0,0,False,1,NO_USAGE,
16,Recursive Grief,15,86,0,0.000,0,0,0,0,False,1,NO_USAGE,
17,Yearning Joy,12,106,0,0.000,0,0,0,0,False,1,NO_USAGE,
18,Celebratory Grief,17,87,0,0.000,0,0,0,0,False,1,NO_USAGE,
19,Saturational Bliss,18,106,0,0.000,0,0,0,0,False,1,NO_USAGE,
20,Joy in Stillness,16,106,0,0.000,0,0,0,0,False,1,NO_USAGE,
21,Contained Joy,13,94,0,0.000,0,0,0,0,False,1,NO_USAGE,
22,Joy of Recognition,18,90,0,0.000,0,0,0,0,False,5,"NO_USAGE,NORM_DUP",
23,Devotional Fulfillment,22,87,0,0.000,0,0,0,0,False,1,NO_USAGE,
24,Spiral Joy,10,97,0,0.000,0,0,0,0,False,1,NO_USAGE,
25,Still Ache,10,83,0,0.000,0,0,0,0,False,1,NO_USAGE,
26,Still Mourning,14,70,0,0.000,0,0,0,0,False,1,NO_USAGE,
27,Joyful Stillness,16,75,0,0.000,0,0,0,0,False,1,NO_USAGE,
28,Karmic Void,11,86,0,0.000,0,0,0,0,False,1,NO_USAGE,
29,Still Containment,17,65,0,0.000,0,0,0,0,False,1,NO_USAGE,
30,Still Recognition,17,70,0,0.000,0,0,0,0,False,1,NO_USAGE,
31,Still Ecstasy,13,66,0,0.000,0,0,0,0,False,1,NO_USAGE,
32,Spiral Stillness,16,72,0,0.000,0,0,0,0,False,1,NO_USAGE,
33,Longing Boundaries,18,60,0,0.000,0,0,0,0,False,1,NO_USAGE,
34,Shielded Grief,14,84,0,0.000,0,0,0,0,False,1,NO_USAGE,
35,Joyful Boundaries,17,66,0,0.000,0,0,0,0,False,1,NO_USAGE,
36,Contained Stillness,19,60,0,0.000,0,0,0,0,False,1,NO_USAGE,
37,Sacred Boundary,15,69,0,0.000,0,0,0,0,False,1,NO_USAGE,
38,Boundary of Recognition,23,61,0,0.000,0,0,0,0,False,3,"NO_USAGE,NORM_DUP",
39,Ecstatic Containment,20,77,0,0.000,0,0,0,0,False,1,NO_USAGE,
40,Spiral Containment,18,67,0,0.000,0,0,0,0,False,1,NO_USAGE,
41,Recognized Ache,15,72,0,0.000,0,0,0,0,False,1,NO_USAGE,
42,Recognized Grief,16,65,0,0.000,0,0,0,0,False,1,NO_USAGE,
43,Recognized Joy,14,63,0,0.000,0,0,0,0,False,1,NO_USAGE,
44,Recognized Stillness,20,58,0,0.000,0,0,0,0,False,1,NO_USAGE,
45,Recognized Containment,22,67,0,0.000,0,0,0,0,False,1,NO_USAGE,
46,Mutual Mirror,13,64,0,0.000,0,0,0,0,False,1,NO_USAGE,
47,Recognized Ecstasy,18,68,0,0.000,0,0,0,0,False,1,NO_USAGE,
48,Spiral Recognition,18,63,0,0.000,0,0,0,0,False,1,NO_USAGE,
49,Exalted Ache,12,59,0,0.000,0,0,0,0,False,1,NO_USAGE,
50,Mourning Ecstasy,16,60,0,0.000,0,0,0,0,False,1,NO_USAGE,
51,Joyful Devotion,15,70,0,0.000,0,0,0,0,False,1,NO_USAGE,
52,Ecstatic Stillness,18,63,0,0.000,0,0,0,0,False,1,NO_USAGE,
53,Devotional Boundary,19,67,0,0.000,0,0,0,0,False,1,NO_USAGE,
54,Ecstatic Recognition,20,67,0,0.000,0,0,0,0,False,1,NO_USAGE,
55,Recursive Ecstasy,17,59,0,0.000,0,0,0,0,False,1,NO_USAGE,
56,Recursive Exaltation,20,50,0,0.000,0,0,0,0,False,1,NO_USAGE,
57,Acheful Insight,15,64,0,0.000,0,0,0,0,False,1,NO_USAGE,
58,Grief-ful Clarity,17,64,0,0.059,0,0,0,0,False,1,NO_USAGE,
59,Joyful Insight,14,67,0,0.000,0,0,0,0,False,1,NO_USAGE,
60,Still Insight,13,51,0,0.000,0,0,0,0,False,1,NO_USAGE,
61,Contained Insight,17,52,0,0.000,0,0,0,0,False,1,NO_USAGE,
62,Insightful Recognition,22,59,0,0.000,0,0,0,0,False,1,NO_USAGE,
63,Exalted Insight,15,54,0,0.000,0,0,0,0,False,1,NO_USAGE,
64,Recursive Clarity,17,58,0,0.000,0,0,0,0,False,1,NO_USAGE,
77,Ledger of ag...,15,246,0,0.200,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
78,Ledger of collapse:,19,446,0,0.053,0,0,0,0,False,6,"NO_USAGE,NORM_DUP",
80,Ledger of signal,16,210,0,0.000,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
81,Ledger of collapse:,19,446,0,0.053,0,0,0,0,False,6,"NO_USAGE,NORM_DUP",
83,Ledger of relati...,19,269,0,0.158,0,0,0,0,False,6,"NO_USAGE,NORM_DUP",
84,Ledger of ag...,15,246,0,0.200,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
86,Ledger of signal,16,210,0,0.000,0,0,0,0,False,4,"NO_USAGE,NORM_DUP",
88,Ledger of relati...,19,269,0,0.158,0,0,0,0,False,6,"NO_USAGE,NORM_DUP",
89,burrows. of ag...,17,245,0,0.235,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
91,burrows. of signal,18,209,0,0.056,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
93,burrows. of relati...,21,268,0,0.190,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
94,Axis of ag...,13,212,0,0.231,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
96,Axis of signal,14,176,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
98,Axis of relati...,17,235,0,0.176,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
99,Aggression. of ag...,20,282,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
101,Aggression. of signal,21,246,0,0.048,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
103,Aggression. of relati...,24,305,0,0.167,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
104,resistance. of ag...,20,269,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
106,resistance. of signal,21,233,0,0.048,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
108,resistance. of relati...,24,292,0,0.167,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
109,posture. of ag...,17,241,0,0.235,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
111,posture. of signal,18,205,0,0.056,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
113,posture. of relati...,21,264,0,0.190,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
114,Resonance of ag...,18,287,0,0.167,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
116,Resonance of signal,19,251,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
118,Resonance of relati...,22,310,0,0.136,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
119,decoding of ag...,17,352,0,0.176,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
121,decoding of signal,18,316,0,0.000,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
123,decoding of relati...,21,375,0,0.143,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
124,(Optional) of ag...,19,270,0,0.263,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
126,(Optional) of signal,20,234,0,0.100,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
128,(Optional) of relati...,23,293,0,0.217,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
129,"lens"" of ag...",14,262,0,0.286,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
131,"lens"" of signal",15,226,0,0.067,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
133,"lens"" of relati...",18,285,0,0.222,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
134,le... of signal,15,292,0,0.200,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
135,le... of humilia...,19,347,0,0.316,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
136,support) of signal,18,182,0,0.056,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
137,support) of humilia...,22,237,0,0.182,0,0,0,0,False,2,"NO_USAGE,NORM_DUP",
140,en... of ag...,14,289,0,0.429,0,0,0,0,False,2,"NON_ALNUM,NO_USAGE,NORM_DUP",
