Fragment_ID,NPC_Name,NPC_Archetype,Biome,Title,Ability_Gained,Storyline,Emotional_Focus
GF-001,Malrik the Archivist,Cult Leader,Desert,Fragment of Measured Archive,Observation +10,"Archivist Malrik leads the player through the archive's lower chambers, where glyphs are catalogued by data rather than emotion. He teaches systematic observation—how to read a location's signs to predict what might happen next. The player learns to distinguish between correlation and causation in the fragmented records. This fragment doesn't grant a full glyph, but it sharpens the player's ability to see patterns in chaos.",Memory / Skepticism
GF-002,High Seer Elenya,Cult Leader,Mountain,Fragment of Divine Presence,Empathy +10,"High Seer Elenya invites the player to observe a mountain ritual from a hidden alcove—not as participant, but as unseen witness. Through this veil of distance, the player learns that sometimes the greatest gift is to let others heal without interference. Elenya teaches that presence doesn't always require intervention. This fragment builds emotional sensitivity to others' private moments.",Nuance / Empathy
GF-003,Ferry Operator Alpha,Aquatic NPC,Aquatic,Fragment of Shrewd Navigation,Authority +10,"The ferry operator teaches the player to negotiate passage—not through force, but through understanding what drives a bargainer. The player learns subtle negotiation mechanics: reading tone, timing requests, offering value that resonates. This fragment doesn't guarantee cheaper fares, but it opens dialogue options that weren't visible before.",Authority / Skepticism
GF-004,Ferry Operator Beta,Aquatic NPC,Aquatic,Fragment of Shadow Routes,Observation +15,"The second ferry operator runs black-market passages. They teach the player to see routes that aren't marked on maps—how to read landmarks, water patterns, and NPC behavior to find hidden paths. This fragment unlocks the ability to discover shortcut locations, though taking them may fracture trust with Veynar.",Observation / Need
GF-005,Sea Merchant Leader,Aquatic NPC,Aquatic,Fragment of Profitable Exchange,Authority +15,"The sea merchant teaches economic dynamics in the post-Corelink world. The player learns how scarcity drives value and how to trade items strategically. This fragment doesn't give gold directly, but it teaches supply-and-demand mechanics that make subsequent trades more profitable.",Authority / Trust
GF-006,Fraudulent Boatmaker,Aquatic NPC,Aquatic,Fragment of Cracking Vessel,"Resolve -10, but Skepticism +20","The fraudulent boatmaker tricks the player into trusting a faulty boat. When it inevitably fails mid-journey (not fatally, but humiliatingly), the player learns harsh skepticism. This negative resolution moment teaches resilience—bouncing back from a betrayal. Future encounters with NPCs reveal more clearly who can be trusted.",Skepticism / Resolve
GF-007,Skilled Boatmaker,Aquatic NPC,Aquatic,Fragment of Seaworthy Craft,Resolve +15,"The skilled boatmaker invites the player to help repair a damaged vessel. Together, they salvage and rebuild, learning that mastery is cumulative: each mistake in craftsmanship teaches precision. This fragment doesn't grant a boat, but it teaches the player to spot quality in other survivors' work.",Resolve / Nuance
GF-008,Loner Camper One,Forest NPC,Forest,Fragment of Respectful Distance,Empathy +15,"One forest loner teaches the player that not all survivors want connection. In learning to accept a hermit's choice to remain separate, the player gains empathy for boundaries. This fragment unlocks forest shortcuts that only appear when you move quietly and don't intrude.",Empathy / Observation
GF-009,Loner Camper Two,Forest NPC,Forest,Fragment of Hidden Hearth,"Empathy +20, then Trust +10","The second loner camper, approached with genuine care over time, reveals a hidden hearth where they secretly shelter lost children. This fragment teaches that isolation can mask profound care. Helping here builds a deep, silent partnership—the player can rest here without asking, and the camper will tend injuries overnight.",Trust / Empathy
GF-010,Forest Cook One,Forest NPC,Forest,Fragment of Foraged Bounty,Observation +10,"A forest cook teaches the player to identify edible plants by season. The player learns to gather food, which restores health and morale naturally. This fragment turns exploration into sustenance; wandering feels rewarding rather than depleting.",Observation / Empathy
GF-011,Forest Cook Two,Forest NPC,Forest,Fragment of Communal Broth,Empathy +15,"A second cook gathers survivors to share a communal meal. In helping prepare it, the player learns recipes and cooking mechanics. Different ingredients create different effects (strength, speed, empathy boost). This fragment opens the cooking minigame.",Empathy / Authority
GF-012,Dumpster Diver One,Market NPC,Market,Fragment of Salvaged Value,Observation +15,"A dumpster diver teaches the player that treasure isn't found in chests but in discarded waste. The player learns to search ruins effectively, finding crafting materials others overlook. This fragment increases the quality and quantity of items found while exploring.",Observation / Need
