Category,Count,Theme,NPC Giver,Glyph,Location,Storyline,glyph_name,npc_source,unlock_condition,required_glyphs,required_items,required_stats,stat_rewards,flags_required,flags_set,boss_gate,fusion_group,moral_choice,remnants_effects,semantic_tags
Collapse,62,"Memory distortion, fear, the fracture",Archivist Malrik,Glyph of Fractured Memory,Archive Chamber (Ruins Where Inscriptions Blur),"Malrik shows the player chambers where the Corelink system stored emotional data???now corrupted, glitching, displaying fragments of millions of private moments. Names blur into meaninglessness. Relationships dissolve into noise. The glyph manifests when the player realizes that this fracture isn't accidental???it's what happens when a system designed to hold consciousness collapses mid-transmission. Data doesn't just vanish; it becomes distorted, haunting. This is the ache of information without context, memory without meaning.",Glyph of Fractured Memory,Archivist Malrik,after_archive_discovery,"Glyph of Fractured Memory,Glyph of Mirage Echo,Glyph of Venomous Choice,Glyph of Masked Boundary,Glyph of Broken Vessel,Glyph of Hidden Ache",,,"memory:+0.1,presence:+0.1",,acquired_glyph_fractured_memory,shattered_archive,hexaglyph,take_or_leave_accepted_uncertainty,"empathy:+0.2,memory:+0.2,presence:+0.1","collapse,acceptance,uncertainty,fracture"
Collapse,63,"Memory distortion, fear, the fracture",Archivist Malrik,Glyph of Mirage Echo,Desert Heat (Illusion Trial),"The player navigates the desert with Malrik, who points out mirages???false water, false paths, false homes. These mirages are fed by Corelink remnants, tech still broadcasting phantom signals. As the player walks, they question what's real. The glyph manifests when the player chooses to dismiss a mirage and keep walking, accepting uncertainty. This is fear and fracture embodied: the world becomes unreliable not through malice, but through the breakdown of the systems that made trust possible. This glyph teaches that surviving collapse means accepting that you cannot always know what's real.",Glyph of Mirage Echo,Archivist Malrik,after_archive_discovery,"Glyph of Fractured Memory,Glyph of Mirage Echo,Glyph of Venomous Choice,Glyph of Masked Boundary,Glyph of Broken Vessel,Glyph of Hidden Ache",,,"memory:+0.1,presence:+0.1",,acquired_glyph_mirage_echo,shattered_archive,hexaglyph,take_or_leave_accepted_uncertainty,"empathy:+0.2,memory:+0.2,presence:+0.1","collapse,acceptance,uncertainty,fracture"
Legacy,3,"Family, ancestry, ritual inheritance",Archivist Malrik,Glyph of Ancestral Record,Desert tomb archives,inheritance rationalized as historical evidence.,Glyph of Ancestral Record,Archivist Malrik,after_archive_discovery,,,,"memory:+0.2,presence:+0.1",,acquired_glyph_ancestral_record,,,,"memory:+0.2,empathy:+0.1,authority:+0.1","legacy,inheritance,ancestry,transmission,presence"
Legacy,7,"Family, ancestry, ritual inheritance",Archivist Malrik,Glyph of Sand Memories,Desert archive chamber,"Malrik insists legacy is record, not myth. The player uncovers names etched in dust, realizing that even data carries ache. Legacy here is the fragile persistence of identity against forgetting.",Glyph of Sand Memories,Archivist Malrik,after_archive_discovery,,,,"memory:+0.2,presence:+0.1",,acquired_glyph_sand_memories,,,,"memory:+0.2,empathy:+0.1,authority:+0.1","legacy,inheritance,ancestry,transmission,presence"
Sovereignty,23,"Boundaries, choice, clarity",Archivist Malrik,Glyph of Measured Step,Desert Trial Grounds (Archive Chamber),"Malrik leads the player through a gauntlet of desert ruins???each step destabilizing stone. He teaches measured pace: not fast (panic), not slow (paralysis), but a tempo that matches the ground beneath. The glyph manifests when the player successfully traverses the ruins, understanding that sovereignty isn't freedom from consequence, but the discipline to move through consequence with intention. This is endurance as art.",Glyph of Measured Step,Archivist Malrik,after_archive_discovery,"Glyph of Reckless Trial,Glyph of Iron Boundary,Glyph of Measured Step,Glyph of Hidden Passage,Glyph of Covenant Flame",,,"authority:+0.1,clarity:+0.1",,acquired_glyph_measured_step,lawbound_sentinel,pentaglyph,take_or_leave_disciplined_boundaries,"authority:+0.2,empathy:+0.1,presence:+0.1","sovereignty,boundaries,discipline,clarity"
Sovereignty,24,"Boundaries, choice, clarity",Archivist Malrik,Glyph of Boundary Stone,Shifting Sands (Desert Archive),"Malrik teaches the player to carve boundary markers in the desert sand???stones or glyphs that define safe space amid chaos. These markers are temporary; the wind will erase them. But while they stand, they hold. The glyph manifests when the player carves their first boundary marker and watches it hold against the wind for a time. This is clarity through definition: the act of saying 'this far, no further,' knowing full well the boundary will eventually dissolve. Sovereignty isn't permanence???it's the repeated choice to mark and hold and redefine.",Glyph of Boundary Stone,Archivist Malrik,after_archive_discovery,,,,"authority:+0.1,clarity:+0.1",,acquired_glyph_boundary_stone,,,,"authority:+0.1,empathy:+0.1,presence:+0.1","sovereignty,boundaries,choice,clarity,discipline"
Collapse,65,"Memory distortion, fear, the fracture",Captain Veynar,Glyph of Fractured Oath,Guard barracks.,"Captain Veynar stands among broken banners, his authority eroded by promises that no longer hold. Each oath sworn to protect has splintered under collapse, leaving him weary and hollow. The player sees soldiers drifting away, their loyalty dissolved into silence. The glyph manifests when the player recognizes that fracture is not only in stone or steel but in the vows that once bound a community together. Collapse here is the haunting of promises unkept, authority reduced to shadow.",Glyph of Fractured Oath,Captain Veynar,after_guard_barracks_visit,,,,"memory:+0.1,presence:+0.1",,acquired_glyph_fractured_oath,,,,"memory:-0.1,presence:+0.1,empathy:+0.1","fracture,collapse,fear,distortion,severance"
Sovereignty,27,"Boundaries, choice, clarity",Captain Veynar,Glyph of Iron Boundary,Trial grounds.,Veynar teaches that sovereignty is law ? boundaries enforced through weary vigilance.,Glyph of Iron Boundary,Captain Veynar,after_guard_barracks_visit,"Glyph of Reckless Trial,Glyph of Iron Boundary,Glyph of Measured Step,Glyph of Hidden Passage,Glyph of Covenant Flame",,,"authority:+0.1,clarity:+0.1",,acquired_glyph_iron_boundary,lawbound_sentinel,pentaglyph,take_or_leave_disciplined_boundaries,"authority:+0.2,empathy:+0.1,presence:+0.1","sovereignty,boundaries,discipline,clarity"
Trust,55,"Community, restoration, interdependence",Captain Veynar,Glyph of Weary Justice,Market concourse.,Veynar teaches that sovereignty is law ? boundaries enforced through weary vigilance.,Glyph of Weary Justice,Captain Veynar,after_guard_barracks_visit,"Glyph of Shared Burden,Glyph of Binding Cloth,Glyph of Weary Justice,Glyph of Mutual Passage",,,"trust:+0.2,empathy:+0.1",,acquired_glyph_weary_justice,fractured_bridge,tetraglyph,take_or_leave_interwoven_bonds,"empathy:+0.2,trust:+0.3,presence:+0.1","trust,interdependence,bonds,community"
Collapse,61,"Memory distortion, fear, the fracture",Coren the Mediator,Glyph of Preemptive Severance,Cult Encampment (Mountain Fortress),"Coren the Mediator leads a group that practices preemptive severance???severing all emotional bonds before they can betray you. They teach: if you cut ties first, the abandonment can't touch you. The player encounters their community and must choose: join them in their defense, or challenge their logic. The glyph manifests when the player realizes that this is a response to trauma???a broken logic that protects by destroying. Understanding this fracture in reasoning reveals the glyph's truth: fear creates false choices. This is the collapse of empathy under pressure.",Glyph of Preemptive Severance,Coren the Mediator,after_cult_encampment_encounter,"Glyph of Infrasensory Oblivion,Glyph of Sensory Oblivion,Glyph of Primal Oblivion,Glyph of Dislocated Attachment,Glyph of Preemptive Severance,Glyph of Interruptive Restraint,Glyph of Held Ache,Glyph of Hopeful Transmission",,,"memory:+0.1,presence:+0.1",,acquired_glyph_preemptive_severance,severed_choir,octoglyph,take_or_leave_transmuted_abandonment,"empathy:+0.3,trust:+0.2,presence:+0.2","abandonment,severance,harmony,coherence"
